2022/12/18 22:19:31 [warn] 8#8: *565 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/02/0000000021 while reading upstream, client: 172.20.4.172, server: , request: "GET /api/getDataForInquiryUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/18 23:03:39 [warn] 8#8: *682 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/02/0000000022 while reading upstream, client: 172.20.4.172, server: , request: "POST /api/createUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/19 04:23:42 [warn] 8#8: *1324 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/3/02/0000000023 while reading upstream, client: 172.20.4.174, server: , request: "GET /api/getDataForInquiryUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/19 04:23:52 [warn] 8#8: *1324 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/4/02/0000000024 while reading upstream, client: 172.20.4.174, server: , request: "GET /api/getDataForInquiryUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/19 04:24:15 [warn] 8#8: *1324 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/5/02/0000000025 while reading upstream, client: 172.20.4.174, server: , request: "GET /api/getDataForInquiryUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/19 04:25:45 [warn] 8#8: *1337 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/6/02/0000000026 while reading upstream, client: 172.20.4.174, server: , request: "GET /api/updateUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/19 05:07:58 [warn] 8#8: *1344 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/7/02/0000000027 while reading upstream, client: 172.20.4.174, server: , request: "GET /api/updateUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/19 09:33:01 [warn] 8#8: *1595 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/8/02/0000000028 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/createUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/19 09:37:55 [warn] 8#8: *1643 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/9/02/0000000029 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/createUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/19 09:38:48 [warn] 8#8: *1646 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/0/03/0000000030 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/createUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
